,Mkt-RF,SMB,HML,RMW,CMA,RF,category,,Mkt-RF,SMB,HML,RMW,CMA,,Mkt-RF,SMB,HML,RMW,CMA,RF,category
,,,,,,,,,,,,,,198806,4.79,2.19,-1.07,1.42,-3.25,0.49,TP
,,,,,,,,,,,,,,198807,-1.25,-0.17,2.27,-0.59,1.45,0.51,TP
,,,,,,,,,,,,,,198808,-3.31,-0.02,2.03,-0.76,1.74,0.59,TP
,,,,,,,,,,,,,,198809,3.3,-1.31,-0.68,1.72,-0.48,0.62,TP
,,,,,,,,,,,,,,198810,1.15,-2.95,1.71,1.4,1.04,0.61,TP
,,,,,,,,,,,,,,198811,-2.29,-1.66,1.24,-0.31,1.6,0.57,TP
,,,,,,,,,,,,,,198812,1.49,2.01,-1.55,0.64,-0.37,0.63,TP
,,,,,,,,,,,,,,198901,6.1,-2.23,0.51,-1.03,0.16,0.55,TP
,,,,,,,,,,,,,,198902,-2.25,2.67,0.87,-0.82,1.89,0.61,TP
,,,,,,,,,,,,,,198903,1.57,0.76,0.46,0.01,0.79,0.67,TP
,,,,,,,,,,,,,,198904,4.33,-0.7,-1.45,0.76,-0.54,0.67,TP
,,,,,,,,,,,,,,198905,3.35,-0.01,-0.82,0.49,-0.04,0.79,TP
,,,,,,,,,,,,,,198906,-1.35,-1.08,2.19,0.24,1.52,0.71,TP
,,,,,,,,,,,,,,198907,7.2,-4.04,-2.84,1.99,-0.62,0.7,TP
,,,,,,,,,,,,,,198908,1.44,0.43,0.72,0.41,-0.5,0.74,TP
,,,,,,,,,,,,,,198909,-0.76,0.46,-1.34,1.4,0.59,0.65,TP
,,,,,,,,,,,,,,198910,-3.67,-3.33,-1.03,0,0.02,0.68,TP
,,,,,,,,,,,,,,198911,1.03,-1.3,-1.12,-0.91,1.47,0.69,TP
,,,,,,,,,,,,,,198912,1.16,-2.3,0.28,-0.1,1.45,0.61,TP
,,,,,,,,,,,,,,199001,-7.85,-1.33,0.87,-1.13,1.32,0.57,TP
,,,,,,,,,,,,,,199002,1.11,1.18,0.61,-0.19,-0.64,0.57,TP
,,,,,,,,,,,,,,199003,1.83,1.64,-2.9,2.15,-1.02,0.64,TP
,,,,,,,,,,,,,,199004,-3.36,-0.4,-2.55,1.72,-0.98,0.69,TP
,,,,,,,,,,,,,,199005,8.42,-2.4,-3.74,1.65,-1.57,0.68,TP
,,,,,,,,,,,,,,199006,-1.09,1.38,-1.94,-1,-0.34,0.63,TP
,,,,,,,,,,,,,,199103,2.65,3.82,-1.23,-0.39,-0.99,0.44,TP
,,,,,,,,,,,,,,199104,-0.28,0.33,1.42,0.53,0.71,0.53,TP
,,,,,,,,,,,,,,199105,3.65,0.17,-0.57,2.11,-2.45,0.47,TP
,,,,,,,,,,,,,,199106,-4.94,0.17,1.21,1.75,0.63,0.42,TP
,,,,,,,,,,,,,,199107,4.24,-0.96,-1.25,1.61,-1.41,0.49,TP
,,,,,,,,,,,,,,199108,2.32,1.44,-0.78,0.88,-0.55,0.46,TP
,,,,,,,,,,,,,,199109,-1.59,1.55,-1,-1.81,0.16,0.46,TP
,,,,,,,,,,,,,,199110,1.29,0.95,-0.43,-1.73,-0.29,0.42,TP
,,,,,,,,,,,,,,199111,-4.19,-0.87,-1.93,1.08,0.12,0.39,TP
,,,,,,,,,,,,,,199112,10.84,-2.42,-4.03,3.58,-3.12,0.38,TP
,,,,,,,,,,,,,,199201,-0.59,9.26,4.51,-1.33,3.15,0.34,TP
,,,,,,,,,,,,,,199202,1.09,1.35,6.37,0.09,2.04,0.28,TP
,,,,,,,,,,,,,,199203,-2.66,-0.9,3.65,-0.08,1.93,0.34,TP
,,,,,,,,,,,,,,199204,1.07,-5.73,4.31,1.71,2.22,0.32,TP
,,,,,,,,,,,,,,199205,0.3,0.21,1.28,-0.96,0.43,0.28,TP
,,,,,,,,,,,,,,199206,-2.34,-2.71,3.4,-0.03,1.07,0.32,TP
,,,,,,,,,,,,,,199207,3.77,-0.61,-0.53,1.56,-0.72,0.31,TP
,,,,,,,,,,,,,,199208,-2.38,-0.42,-1.03,3.79,-1.62,0.26,TP
,,,,,,,,,,,,,,199209,1.19,0.48,-0.21,1.54,-0.5,0.26,TP
,,,,,,,,,,,,,,199210,1.02,2.02,-2.1,1.31,-0.8,0.23,TP
,,,,,,,,,,,,,,199211,4.13,3.91,-1.48,-0.84,-1.91,0.23,TP
,,,,,,,,,,,,,,199212,1.53,1.64,2.52,-0.44,0.75,0.28,TP
,,,,,,,,,,,,,,199301,0.93,2.09,5.87,-1.77,2.78,0.23,TP
,,,,,,,,,,,,,,199302,0.12,-3.42,6.42,-0.5,4.05,0.22,TP
,,,,,,,,,,,,,,199303,2.3,0.05,1.22,-0.29,0.92,0.25,TP
,,,,,,,,,,,,,,199304,-3.05,-0.86,2.61,-3.69,1.52,0.24,TP
,,,,,,,,,,,,,,199305,2.89,1.88,-3.41,-0.01,-1.18,0.22,TP
,,,,,,,,,,,,,,199306,0.31,0.11,2.62,-1.06,1.09,0.25,TP
,,,,,,,,,,,,,,199307,-0.34,0.9,3.24,-2.18,2.02,0.24,TP
,,,,,,,,,,,,,,199308,3.71,0.25,-0.45,-1.16,-0.03,0.25,TP
,,,,,,,,,,,,,,199309,-0.12,3.07,-0.45,0.77,-0.09,0.26,TP
,,,,,,,,,,,,,,199310,1.41,1.61,-1.54,-0.1,0.6,0.22,TP
,,,,,,,,,,,,,,199311,-1.89,-1.43,-0.27,1.55,-0.96,0.25,TP
,,,,,,,,,,,,,,199312,1.65,1.36,0.57,0.7,-0.3,0.23,TP
,,,,,,,,,,,,,,199401,2.87,-0.15,2.09,-2.28,1.47,0.25,TP
,,,,,,,,,,,,,,199402,-2.55,2.65,-1.44,2.45,-1.05,0.21,TP
,,,,,,,,,,,,,,199403,-4.78,-1.02,1.31,0.77,1.25,0.27,TP
,,,,,,,,,,,,,,199404,0.68,-1.05,1.68,1.01,1.12,0.27,TP
,,,,,,,,,,,,,,199405,0.58,-2.47,0.2,0.9,0.71,0.31,TP
,,,,,,,,,,,,,,199406,-3.03,-0.52,1.7,1.16,1.51,0.31,TP
,,,,,,,,,,,,,,199407,2.82,-1.84,0.59,-0.88,0.14,0.28,TP
,,,,,,,,,,,,,,199408,4.01,1.28,-2.82,0.87,-1.45,0.37,TP
,,,,,,,,,,,,,,199409,-2.31,2.66,-1.9,0.61,0.95,0.37,TP
,,,,,,,,,,,,,,199410,1.34,-2.29,-1.73,0.58,-0.64,0.38,TP
,,,,,,,,,,,,,,199411,-4.04,0.12,-0.94,0.8,-0.45,0.37,TP
,,,,,,,,,,,,,,199412,0.86,-0.02,0.55,0.42,0.31,0.44,TP
,,,,,,,,,,,,,,199501,1.8,-2.76,0.83,0.61,-0.84,0.42,TP
,,,,,,,,,,,,,,199502,3.63,-0.55,1.08,0.58,-0.33,0.4,TP
,,,,,,,,,,,,,,199503,2.19,-0.73,-1.07,-0.33,0.19,0.46,TP
,,,,,,,,,,,,,,199504,2.11,-0.34,2.26,0.05,1.01,0.44,TP
,,,,,,,,,,,,,,199505,2.9,-2.06,1.69,0.46,0.09,0.54,TP
,,,,,,,,,,,,,,199506,2.72,2.95,-2.27,-0.48,-2.43,0.47,TP
,,,,,,,,,,,,,,199507,3.72,2.1,-1.68,0.51,-1.71,0.45,TP
,,,,,,,,,,,,,,199508,0.55,1.84,2.71,-1.38,1.64,0.47,TP
,,,,,,,,,,,,,,199509,3.35,-1.88,-0.76,1.31,0.36,0.43,TP
,,,,,,,,,,,,,,199510,-1.52,-4.04,-0.75,2.17,-0.04,0.47,TP
,,,,,,,,,,,,,,199511,3.96,-1.17,0.94,-0.83,1.19,0.42,TP
,,,,,,,,,,,,,,199512,1.03,0.67,0.86,-1.32,2.99,0.49,TP
,,,,,,,,,,,,,,199601,2.26,-2.59,0.3,-0.63,2.28,0.43,TP
,,,,,,,,,,,,,,199602,1.33,1.82,-1.42,0.4,-1.8,0.39,TP
,,,,,,,,,,,,,,199603,0.73,1.54,1,1.3,-0.97,0.39,TP
,,,,,,,,,,,,,,199604,2.06,4.64,-3.9,0.17,-2.2,0.46,TP
,,,,,,,,,,,,,,199605,2.36,3.17,-1.2,0.43,-0.22,0.42,TP
,,,,,,,,,,,,,,199606,-1.14,-3.47,1.56,3.47,1.08,0.4,TP
,,,,,,,,,,,,,,199607,-5.97,-3.68,4.45,2.84,2.6,0.45,TP
,,,,,,,,,,,,,,199608,2.77,2.54,-0.46,-0.3,-2.43,0.41,TP
,,,,,,,,,,,,,,199609,5.01,-1.32,-3.14,1.51,-2.18,0.44,TP
,,,,,,,,,,,,,,199610,0.86,-3.89,5.12,1.32,2.97,0.42,TP
,,,,,,,,,,,,,,199611,6.25,-3.79,1.16,2.01,-0.73,0.41,TP
,,,,,,,,,,,,,,199612,-1.7,3.22,0.9,0.57,1.51,0.46,TP
,,,,,,,,,,,,,,199701,4.98,-1.82,-1.64,1.27,-0.27,0.45,TP
,,,,,,,,,,,,,,199702,-0.49,-2.52,5.19,0.73,3.4,0.39,TP
,,,,,,,,,,,,,,199703,-5.02,-0.48,3.81,0.35,1.67,0.43,TP
,,,,,,,,,,,,,,199704,4.04,-5.74,-0.07,3.29,-0.91,0.43,TP
,,,,,,,,,,,,,,199705,6.74,4.65,-3.87,-0.98,-2.9,0.49,TP
,,,,,,,,,,,,,,199706,4.1,1.26,1.23,1.02,0.54,0.37,TP
,,,,,,,,,,,,,,199707,7.33,-2.83,0.84,-0.24,-2.54,0.43,TP
,,,,,,,,,,,,,,199708,-4.15,7.66,1.38,-0.94,-0.03,0.41,TP
,,,,,,,,,,,,,,199709,5.35,2.56,0.02,-1.39,-0.91,0.44,TP
,,,,,,,,,,,,,,199710,-3.8,-0.5,1.96,1.09,1.89,0.42,TP
,,,,,,,,,,,,,,199711,2.98,-5.03,0.78,3.07,1.66,0.39,TP
,,,,,,,,,,,,,,199712,1.32,-2.01,3.46,1.18,1.91,0.48,TP
,,,,,,,,,,,,,,199801,0.15,-1.4,-1.45,0.46,-0.83,0.43,TP
,,,,,,,,,,,,,,199802,7.04,-0.02,-0.13,-0.87,-2.42,0.39,TP
,,,,,,,,,,,,,,199803,4.76,-0.66,1.06,-1.02,-0.48,0.39,TP
,,,,,,,,,,,,,,199804,0.73,-0.01,0.74,-2.13,-0.23,0.43,TP
,,,,,,,,,,,,,,199805,-3.07,-3.11,4.16,0.97,2.54,0.4,TP
,,,,,,,,,,,,,,199806,3.18,-3.67,-2.32,-0.52,-2.91,0.41,TP
,,,,,,,,,,,,,,199807,-2.46,-5.32,-0.97,1.82,0.45,0.4,TP
,,,,,,,,,,,,,,199808,-16.08,-5.01,3.41,3.48,5.84,0.43,TP
,,,,,,,,,,,,,,199809,6.15,-0.82,-3.31,-1.52,-2.9,0.46,TP
,,,,,,,,,,,,,,199810,7.13,-3.53,-2.2,0.59,0.27,0.32,TP
,,,,,,,,,,,,,,199811,6.1,0.65,-3.14,-1.25,-1.15,0.31,TP
,,,,,,,,,,,,,,199812,6.16,-1.5,-4.46,-0.75,-3.35,0.38,TP
,,,,,,,,,,,,,,199901,3.5,-0.75,-4.03,-2.69,-6.88,0.35,TP
,,,,,,,,,,,,,,199902,-4.08,-5.15,1.4,-1.71,4.09,0.35,TP
,,,,,,,,,,,,,,199903,3.45,-4.3,-2.64,-4.2,-1.38,0.43,TP
,,,,,,,,,,,,,,199904,4.33,4.65,2.51,-2.42,0.92,0.37,TP
,,,,,,,,,,,,,,199905,-2.46,3.73,2.4,1.09,3.34,0.34,TP
,,,,,,,,,,,,,,199906,4.77,2.26,-3.59,1.32,-3.39,0.4,TP
,,,,,,,,,,,,,,199907,-3.49,2.53,-0.76,0.48,3.11,0.38,TP
,,,,,,,,,,,,,,199908,-1.38,-1.93,-1.31,-0.29,0.31,0.39,TP
,,,,,,,,,,,,,,199909,-2.79,2.56,-3.4,-0.74,-1.06,0.39,TP
,,,,,,,,,,,,,,199910,6.12,-7.08,-2.88,-1.71,-1.25,0.39,TP
,,,,,,,,,,,,,,199911,3.37,5.9,-6.51,-3.85,-1.58,0.36,TP
,,,,,,,,,,,,,,199912,7.72,5.41,-8.74,-7.9,-5.29,0.44,TP
,,,,,,,,,,,,,,200001,-4.74,4.16,-0.29,-6.05,4.73,0.41,TP
,,,,,,,,,,,,,,200002,2.45,18.32,-9.93,-18.33,-0.5,0.43,TP
,,,,,,,,,,,,,,200003,5.2,-14.91,7.37,11.67,-1.05,0.47,TP
,,,,,,,,,,,,,,200004,-6.4,-5.55,8.61,7.54,5.27,0.46,TP
,,,,,,,,,,,,,,200005,-4.42,-3.67,2.56,4.63,0.74,0.5,TP
,,,,,,,,,,,,,,200006,4.64,10.39,-9.86,-6.82,-3.07,0.4,TP
,,,,,,,,,,,,,,200007,-2.51,-0.97,8.14,5.98,3,0.48,TP
,,,,,,,,,,,,,,200008,7.03,-1.1,-0.68,-3.06,0.61,0.5,TP
,,,,,,,,,,,,,,200009,-5.45,0.21,6.24,3.07,6.38,0.51,TP
,,,,,,,,,,,,,,200010,-2.76,-2.8,5.52,9.65,4.7,0.56,TP
,,,,,,,,,,,,,,200011,-10.72,-0.46,11.3,13.31,8.51,0.51,TP
,,,,,,,,,,,,,,200012,1.19,3.16,7.33,1.83,5.72,0.5,TP
,,,,,,,,,,,,,,200101,3.13,5.81,-4.9,-4.43,-6.54,0.54,TP
,,,,,,,,,,,,,,200102,-10.05,2.66,12.9,9,9.58,0.38,TP
,,,,,,,,,,,,,,200111,7.54,-0.31,2,-3.76,-1.66,0.17,TP
,,,,,,,,,,,,,,200112,1.61,5.13,1.1,0.31,-0.32,0.15,TP
,,,,,,,,,,,,,,200201,-1.44,1.19,3.33,4.36,2.84,0.14,TP
,,,,,,,,,,,,,,200202,-2.29,-0.47,2.5,7.62,5.14,0.13,TP
,,,,,,,,,,,,,,200203,4.24,4.27,1.11,-1.35,0.58,0.13,TP
,,,,,,,,,,,,,,200204,-5.2,6.66,3.93,4.57,5.39,0.15,TP
,,,,,,,,,,,,,,200205,-1.38,-3.07,1.69,2.27,2.41,0.14,TP
,,,,,,,,,,,,,,200206,-7.21,3.77,0.13,3.62,2.54,0.13,TP
,,,,,,,,,,,,,,200207,-8.18,-6.24,-3.41,4.2,-0.73,0.15,TP
,,,,,,,,,,,,,,200208,0.5,-1.27,2.49,1.15,-1.61,0.14,TP
,,,,,,,,,,,,,,200209,-10.35,3.07,1.31,3.27,-2.29,0.14,TP
,,,,,,,,,,,,,,200210,7.84,-4.12,-5.46,-3.29,0.92,0.14,TP
,,,,,,,,,,,,,,200211,5.96,2.9,-1.15,-9.14,5.16,0.12,TP
,,,,,,,,,,,,,,200212,-5.76,0.49,2.25,6.05,-1.61,0.11,TP
,,,,,,,,,,,,,,200301,-2.57,0.81,-0.93,-0.61,0.81,0.1,TP
,,,,,,,,,,,,,,200302,-1.88,-0.89,-1.46,1.04,-0.54,0.09,TP
,,,,,,,,,,,,,,200303,1.09,0.55,-2.09,1.81,-0.69,0.1,TP
,,,,,,,,,,,,,,200304,8.22,1.06,1.03,-4.58,1.15,0.1,TP
,,,,,,,,,,,,,,200305,6.05,4.83,-0.3,-6.92,3.22,0.09,TP
,,,,,,,,,,,,,,200306,1.42,1.68,0.66,0.54,-0.32,0.1,TP
,,,,,,,,,,,,,,200307,2.35,4.73,-1.15,-4.17,1.89,0.07,TP
,,,,,,,,,,,,,,200308,2.34,2.54,2.03,-2.48,2.19,0.07,TP
,,,,,,,,,,,,,,200309,-1.24,0.52,0.02,1.34,0.28,0.08,TP
,,,,,,,,,,,,,,200310,6.08,2.64,1.76,-1.58,1.58,0.07,TP
,,,,,,,,,,,,,,200311,1.35,2.2,1.86,0.07,1.69,0.07,TP
,,,,,,,,,,,,,,200312,4.29,-2.7,2.42,0,1,0.08,TP
,,,,,,,,,,,,,,200401,2.15,2.56,1.97,-3.54,3.34,0.07,TP
,,,,,,,,,,,,,,200402,1.4,-0.91,0.49,2.28,-1.35,0.06,TP
,,,,,,,,,,,,,,200403,-1.32,2.1,0.21,1.5,-1.04,0.09,TP
,,,,,,,,,,,,,,200404,-1.83,-2.18,-2.62,3.3,-2.82,0.08,TP
,,,,,,,,,,,,,,200405,1.17,-0.4,-0.39,-0.98,-0.09,0.06,TP
,,,,,,,,,,,,,,200406,1.86,2.56,1.38,1.12,-0.39,0.08,TP
,,,,,,,,,,,,,,200407,-4.06,-3.01,4.1,5.08,-1.64,0.1,TP
,,,,,,,,,,,,,,200408,0.08,-1.28,1.03,1.31,-1.42,0.11,TP
,,,,,,,,,,,,,,200409,1.6,3.28,-0.25,-1.34,-1.88,0.11,TP
,,,,,,,,,,,,,,200410,1.43,0.29,-0.62,-0.08,0.41,0.11,TP
,,,,,,,,,,,,,,200411,4.54,4.12,1.79,-1.05,-0.23,0.15,TP
,,,,,,,,,,,,,,200412,3.43,0.01,-0.06,-1.27,0.5,0.16,TP
,,,,,,,,,,,,,,200501,-2.76,-1.11,1.97,3.05,-1.37,0.16,TP
,,,,,,,,,,,,,,200502,1.89,-0.3,1.63,1.21,-0.06,0.16,TP
,,,,,,,,,,,,,,200503,-1.97,-1.41,1.58,0.48,1.1,0.21,TP
,,,,,,,,,,,,,,200504,-2.61,-4.03,-0.34,0.96,-0.88,0.21,TP
,,,,,,,,,,,,,,200505,3.65,2.72,-0.81,-1.31,0.27,0.24,TP
,,,,,,,,,,,,,,200506,0.57,3.27,2.62,0.98,-0.53,0.23,TP
,,,,,,,,,,,,,,200507,3.92,2.83,-0.51,-1.17,-0.98,0.24,TP
,,,,,,,,,,,,,,200508,-1.22,-0.86,1.27,-2.24,0.45,0.3,TP
,,,,,,,,,,,,,,200509,0.49,-0.31,0.77,0.5,-0.57,0.29,TP
,,,,,,,,,,,,,,200510,-2.02,-1.41,0.23,-0.56,-1.26,0.27,TP
,,,,,,,,,,,,,,200511,3.61,0.8,-1.18,-0.58,-1.17,0.31,TP
,,,,,,,,,,,,,,200512,-0.25,-0.28,0.44,0.12,0.21,0.32,TP
,,,,,,,,,,,,,,200601,3.04,5.78,1.12,-0.94,-0.53,0.35,TP
,,,,,,,,,,,,,,200602,-0.3,-0.45,-0.25,-0.71,2.03,0.34,TP
,,,,,,,,,,,,,,200603,1.46,3.45,0.61,-0.04,-0.53,0.37,TP
,,,,,,,,,,,,,,200604,0.73,-0.82,2.59,1.16,-0.2,0.36,TP
,,,,,,,,,,,,,,200605,-3.57,-2.99,2.55,0.93,1.31,0.43,TP
,,,,,,,,,,,,,,200606,-0.35,-0.24,0.87,1.37,-0.12,0.4,TP
,,,,,,,,,,,,,,200607,-0.78,-3.69,2.94,1.6,0.93,0.4,TP
,,,,,,,,,,,,,,200608,2.03,0.44,-1.72,-1.73,2.15,0.42,TP
,,,,,,,,,,,,,,200609,1.84,-1.44,0.05,0.89,0.54,0.41,TP
,,,,,,,,,,,,,,200610,3.23,1.93,-0.04,-0.21,0.24,0.41,TP
,,,,,,,,,,,,,,200611,1.71,0.82,0.07,0.12,-0.87,0.42,TP
,,,,,,,,,,,,,,200612,0.87,-0.79,3.16,-0.81,2.05,0.4,TP
,,,,,,,,,,,,,,200701,1.4,0.08,-0.11,0.23,0.23,0.44,TP
,,,,,,,,,,,,,,200702,-1.96,1.4,-0.09,-0.46,-0.75,0.38,TP
,,,,,,,,,,,,,,200703,0.68,0.07,-0.22,0.26,-0.59,0.43,TP
,,,,,,,,,,,,,,200704,3.49,-2.02,-1.15,1.01,1.01,0.44,TP
,,,,,,,,,,,,,,200705,3.24,0.29,-0.05,1.14,-1.3,0.41,TP
,,,,,,,,,,,,,,200706,-1.96,0.76,-1.13,0.55,0.07,0.4,TP
,,,,,,,,,,,,,,200707,-3.73,-2.88,-3.34,0.6,-1.04,0.4,TP
,,,,,,,,,,,,,,200708,0.92,-0.34,-2.24,-0.9,-0.55,0.42,TP
,,,,,,,,,,,,,,200709,3.22,-2.42,-1.87,-0.56,-3.17,0.32,TP
,,,,,,,,,,,,,,200710,1.8,0.03,-2.59,-0.31,-0.1,0.32,TP
,,,,,,,,,,,,,,200711,-4.83,-2.82,-1.18,1.9,-0.33,0.34,TP
,,,,,,,,,,,,,,200906,0.43,2.32,-2.71,-1.07,-0.16,0.01,TP
