date,RET,Mkt-RF,SMB,HML,RMW,CMA,RF
20060421,-0.008531,-0.001000,-0.001400,0.003000,0.002900,-0.002100,0.000190
20060424,-0.006661,-0.003000,-0.004600,0.001200,-0.003200,-0.001000,0.000190
20060425,-0.006706,-0.004400,0.004000,0.000100,-0.000200,0.001900,0.000190
20060426,0.006751,0.002000,-0.001400,0.002800,-0.002600,0.000400,0.000190
20060427,-0.001397,0.002400,-0.009300,0.000000,-0.001800,0.001600,0.000190
20060428,-0.014829,0.000500,0.003600,0.005200,0.006500,-0.001400,0.000190
20060501,-0.017609,-0.004100,0.000100,0.004700,-0.000500,0.001600,0.000200
20060502,-0.006071,0.005400,0.002600,0.005700,0.003000,0.001900,0.000200
20060503,-0.012216,-0.003100,0.003900,0.000700,-0.001100,0.001800,0.000200
20060504,0.015018,0.003700,0.005200,-0.002400,-0.001500,0.001000,0.000200
20060505,0.016536,0.010400,-0.002700,-0.000200,0.000400,-0.000900,0.000200
20060508,-0.009989,-0.000500,0.000400,0.000900,0.000200,0.001900,0.000200
20060509,0.004324,-0.000100,-0.001400,0.002000,0.000600,-0.000700,0.000200
20060510,-0.019518,-0.002000,-0.005000,0.005400,0.000800,-0.002300,0.000200
20060511,-0.018443,-0.013500,-0.010300,0.002300,0.003800,0.000900,0.000200
20060512,-0.023859,-0.012600,-0.007900,-0.000800,-0.001500,0.003100,0.000200
20060515,0.001528,0.000400,-0.009600,-0.002900,0.003800,-0.000600,0.000200
20060516,-0.000610,-0.001200,0.001200,0.003500,0.001000,-0.002900,0.000200
20060517,-0.035104,-0.016600,0.000900,0.001600,-0.001400,0.001500,0.000200
20060518,0.031636,-0.006900,-0.003300,0.001300,0.000500,0.002400,0.000200
20060519,0.040785,0.003800,0.001200,0.000000,-0.000400,0.003800,0.000200
20060522,0.026223,-0.005500,-0.007400,0.002400,0.000300,0.000500,0.000200
20060523,-0.030721,-0.004400,0.000700,-0.000100,0.002200,-0.002600,0.000200
20060524,0.042358,0.000300,-0.001300,-0.001400,-0.000900,0.000400,0.000200
20060525,0.012504,0.012200,0.006900,0.000100,0.001100,-0.000600,0.000200
20060526,0.012349,0.006000,-0.001200,-0.000800,-0.001700,0.000300,0.000200
20060530,-0.039645,-0.016500,-0.008000,0.001300,-0.001400,0.001700,0.000200
20060531,-0.000866,0.009400,0.004200,0.003800,0.002100,0.002200,0.000200
20060601,0.013291,0.012900,0.007500,-0.001700,-0.002700,0.001400,0.000180
20060602,-0.008840,0.001600,-0.000100,0.002100,0.000900,-0.001200,0.000180
20060605,-0.036536,-0.019400,-0.011900,0.002000,-0.001600,0.001800,0.000180
20060606,-0.002389,-0.002800,-0.001700,-0.001000,0.004400,0.000600,0.000180
20060607,0.010775,-0.005700,0.000000,-0.001800,-0.003600,-0.000100,0.000180
20060608,-0.006515,0.000100,-0.002500,0.000400,0.004100,-0.001600,0.000180
20060609,0.006855,-0.004400,-0.002300,-0.000500,0.001500,0.001300,0.000180
20060612,-0.005329,-0.014800,-0.012500,0.002700,0.003600,-0.000100,0.000180
20060613,-0.003869,-0.011500,-0.004600,-0.004100,0.002800,0.000100,0.000180
20060614,0.006274,0.004600,0.001000,-0.002200,0.000400,0.002400,0.000180
20060615,0.038005,0.023300,0.011100,0.002700,-0.004300,0.000300,0.000180
20060616,0.003719,-0.004300,-0.007200,0.000100,0.002000,0.000700,0.000180
20060619,-0.000570,-0.010100,-0.007900,0.001500,-0.003300,0.001800,0.000180
20060620,0.011691,-0.000700,-0.003700,0.000700,0.000300,0.000100,0.000180
20060621,0.032976,0.011100,0.007400,-0.001700,0.000200,-0.001200,0.000180
20060622,-0.007640,-0.005200,0.002200,0.001600,0.003600,-0.002800,0.000180
20060623,0.004949,0.000300,0.003100,0.002200,0.001600,-0.003300,0.000180
20060626,0.006019,0.005000,0.005800,0.002000,0.000200,-0.001000,0.000180
20060627,-0.007887,-0.010000,-0.006800,0.002900,0.003600,-0.001700,0.000180
20060628,0.006031,0.004700,-0.003500,0.001500,0.002200,-0.000700,0.000180
20060629,0.049591,0.022900,0.014200,-0.002500,0.000000,-0.000600,0.000180
20060630,0.004154,-0.000200,0.011700,0.001300,-0.002500,0.002200,0.000180
20060703,-0.001810,0.007200,-0.000300,-0.002400,0.003000,-0.000500,0.000200
20060705,-0.038850,-0.008800,-0.005200,0.003800,0.001500,0.000300,0.000200
20060706,-0.008354,0.002300,-0.001100,0.000200,0.001200,0.002500,0.000200
20060707,-0.018750,-0.008000,-0.007900,0.007200,0.000500,0.002300,0.000200
20060710,-0.008862,0.000400,-0.002100,0.005100,0.004600,0.002000,0.000200
20060711,-0.003632,0.003700,0.002900,-0.001600,-0.001700,-0.002400,0.000200
20060712,-0.028884,-0.012100,-0.006000,0.003500,-0.000800,0.000700,0.000200
20060713,-0.025989,-0.014300,-0.005600,0.000700,0.002100,0.000100,0.000200
20060714,-0.024014,-0.006000,-0.002900,0.001500,0.004800,-0.001200,0.000200
20060717,0.022783,-0.002200,-0.005000,0.000800,-0.002700,0.003700,0.000200
20060718,-0.005346,0.001700,0.001600,0.003000,0.000700,0.001100,0.000200
20060719,0.029561,0.019800,0.009600,-0.002800,0.002300,-0.000700,0.000200
20060720,-0.008701,-0.011100,-0.015600,0.006000,-0.002100,0.002100,0.000200
20060721,-0.028964,-0.008900,-0.008000,0.003300,0.005800,0.004300,0.000200
20060724,0.033745,0.017500,0.008400,-0.004900,0.002200,-0.003500,0.000200
20060725,-0.020985,0.006900,0.002100,0.000000,-0.002000,-0.002700,0.000200
20060726,-0.218220,-0.001300,-0.002800,0.004700,-0.001100,0.002300,0.000200
20060727,0.011424,-0.005800,-0.007100,0.003600,-0.002300,0.000100,0.000200
20060728,0.022967,0.013100,0.006400,-0.001500,0.000400,0.001200,0.000200
20060731,-0.010306,-0.000900,0.002700,-0.000900,-0.000100,-0.002200,0.000200
20060801,-0.021197,-0.006000,-0.008900,0.003400,0.002200,-0.001100,0.000180
20060802,-0.008739,0.006400,0.002700,-0.002500,-0.001500,-0.001000,0.000180
20060803,0.022997,0.002700,0.007900,-0.004600,0.003800,0.000500,0.000180
20060804,0.022480,-0.001300,-0.004500,0.001600,0.000700,0.000100,0.000180
20060807,-0.018688,-0.003500,-0.003000,0.001000,0.003200,-0.001700,0.000180
20060808,-0.015683,-0.004200,-0.007600,0.001000,0.000900,-0.000700,0.000180
20060809,-0.005690,-0.005200,-0.004700,-0.000100,-0.001300,0.006000,0.000180
20060810,0.010683,0.004900,0.002900,-0.003800,0.000000,0.002300,0.000180
20060811,-0.015855,-0.004900,-0.005500,0.001900,-0.000100,0.000100,0.000180
20060814,0.017645,0.001200,0.001700,-0.003100,-0.002300,0.006400,0.000180
20060815,0.046740,0.014600,0.007100,-0.004200,-0.003800,-0.001100,0.000180
20060816,0.006482,0.009000,0.005400,-0.005200,-0.002500,-0.000800,0.000180
20060817,0.040787,0.001800,0.003100,-0.001800,-0.005100,0.001800,0.000180
20060818,0.001031,0.003000,-0.001700,-0.001200,0.001400,-0.000600,0.000180
20060821,-0.033997,-0.004800,-0.004600,0.001500,0.000800,0.001600,0.000180
20060822,0.008532,0.000700,0.002700,0.000600,-0.000600,-0.000300,0.000180
20060823,-0.008107,-0.005500,-0.007500,0.001500,-0.002600,0.004000,0.000180
20060824,-0.006041,0.001600,-0.002000,0.000800,-0.001100,0.000100,0.000180
20060825,0.002145,-0.000700,0.001900,-0.000900,-0.000500,0.000200,0.000180
20060828,0.031395,0.005800,0.003700,-0.001200,-0.001400,0.001800,0.000180
20060829,0.021100,0.003300,0.008600,-0.001200,-0.003600,0.003200,0.000180
20060830,0.038957,0.001300,0.006700,-0.002800,-0.003700,0.000800,0.000180
20060831,0.005217,0.000300,0.000600,0.002300,0.000100,-0.000500,0.000180
20060901,0.030165,0.004900,-0.002600,-0.000400,0.002300,-0.000500,0.000200
20060905,0.014798,0.002100,0.005300,0.000100,0.000400,-0.004800,0.000200
20060906,-0.044369,-0.011300,-0.009700,0.004600,0.000700,0.005300,0.000200
20060907,-0.034740,-0.005000,-0.001800,0.002100,0.000600,-0.000600,0.000200
20060908,0.026236,0.003200,-0.001100,-0.001200,-0.001700,0.004100,0.000200
20060911,0.009177,-0.000300,-0.002000,-0.000800,-0.001400,0.005300,0.000200
20060912,0.030205,0.011800,0.010900,-0.003200,-0.000600,-0.001300,0.000200
20060913,-0.001576,0.004500,0.004500,-0.000800,0.002000,-0.002500,0.000200
20060914,-0.000632,-0.001600,-0.002500,0.000800,-0.001400,0.001900,0.000200
20060915,0.027488,0.002100,-0.000200,-0.002900,0.002300,-0.002000,0.000200
20060918,-0.013530,0.000400,-0.000100,-0.003000,0.002900,-0.002000,0.000200
20060919,-0.015586,-0.002900,-0.002100,0.001900,0.001400,0.002400,0.000200
20060920,0.017099,0.006000,0.005000,0.000100,-0.003200,0.003100,0.000200
20060921,-0.059153,-0.005900,-0.003400,0.000700,0.003500,-0.003000,0.000200
20060922,0.020516,-0.004100,-0.008100,0.005100,0.000900,0.001000,0.000200
20060925,0.030804,0.008600,0.001500,0.000900,-0.002100,0.002000,0.000200
20060926,0.022334,0.007100,-0.003600,-0.001800,0.004100,-0.001800,0.000200
20060927,-0.005231,0.000800,0.003900,-0.002700,0.001900,0.000500,0.000200
20060928,-0.015156,0.001500,-0.001200,-0.001900,-0.000200,-0.001400,0.000200
20060929,0.008794,-0.003300,-0.006100,0.002500,-0.003600,-0.000400,0.000200
20061002,-0.038917,-0.004300,-0.005500,0.001900,-0.001200,0.003500,0.000180
20061003,0.026887,0.001300,-0.003600,0.004600,-0.003200,0.004600,0.000180
20061004,0.033438,0.012800,0.007100,-0.005200,0.001200,-0.001000,0.000180
20061005,0.017094,0.004300,0.009200,-0.003700,0.000300,-0.002500,0.000180
20061006,-0.021909,-0.003100,-0.000600,-0.000900,-0.000800,0.000800,0.000180
20061009,0.024241,0.002000,0.004400,0.001100,-0.001100,-0.000300,0.000180
20061010,-0.022768,0.002100,0.000300,0.000000,0.003100,-0.003100,0.000180
20061011,0.008890,-0.003000,-0.002800,0.002300,-0.002500,0.002300,0.000180
20061012,0.019447,0.010700,0.009400,-0.001900,0.000200,-0.002400,0.000180
20061013,-0.006855,0.002200,0.004800,-0.000600,-0.000600,-0.001800,0.000180
